Index,Year,Name,Manual_KW,Manual_Count,YAKE_KW,YAKE_Count,Intersection,Intersection_Count,Ratio_Manual,Ratio_YAKE,Status
256,2018,Khokhlova,"Collocability, collocations, dictionaries, database, text corpora, statistics",6,,0,,0,0.0,0.0,Manual Only
257,2018,Khokhlova,"Сочетаемость, коллокации, словари, база данных, корпусы
текстов, статистика",6,,0,,0,0.0,0.0,Manual Only
258,2018,Khokhlova,,0,"данных, сочетаемости, база данных, языка, русского языка, словосочетания, token start, слов, представлены, база",10,,0,0.0,0.0,YAKE Only
259,2018,Kirillova,"morphological tagging, morphological disambiguation, NLTK4RUSSIAN, text
corpora",4,,0,,0,0.0,0.0,Manual Only
260,2018,Kirillova,"морфологический анализ, разрешение морфологической
неоднозначности, NLTK4RUSSIAN, корпусы русскоязычных текстов",4,,0,,0,0.0,0.0,Manual Only
261,2018,Kirillova,,0,"NLTK, разметки, Universal Dependencies, морфоанализатора, Dialogue Evaluation, НКРЯ, текстов, работы морфоанализатора, частеречной разметки, OpenCorpora",10,,0,0.0,0.0,YAKE Only
262,2018,Kogan,"corpus linguistics, lexical bundles, academic formulas and word list, English academic
discourse, Kod.ING corpus, German for specific purposes",6,,0,,0,0.0,0.0,Manual Only
263,2018,Kogan,"корпусная лингвистика, устойчивые сочетания, лексические
пучки, списки частотных слов и выражений, английский научный дискурс, Kod.ING
корпус, немецкий для специальных целей.",7,,0,,0,0.0,0.0,Manual Only
264,2018,Kogan,,0,"слов, лексических пучков, частотных слов, the, лексических, языка, специальных целей, корпуса, пучков, частотных лексических",10,,0,0.0,0.0,YAKE Only
265,2018,Martynenko,"Russian language, Russian literature, story, revolutionary era, computer
anthology, first third of the 20th century",6,,0,,0,0.0,0.0,Manual Only
266,2018,Martynenko,"русский язык, русская литература, рассказ, революционная эпоха,
компьютерная антология, первая треть XX века",6,,0,,0,0.0,0.0,Manual Only
267,2018,Martynenko,,0,"антологии русского, антологии, русского, русского языка, русского рассказа, языка, русской, рассказа, русской формальной, литературы",10,,0,0.0,0.0,YAKE Only
268,2018,Masevich,"corpora, diachronic studies, political names, political terms, methodology,
Google Books Ngram Viewer",6,,0,,0,0.0,0.0,Manual Only
269,2018,Masevich,"корпусная лингвистика, имена поличических деятелей, частоты,
вариативность, система Google books Ngram Viewer",5,,0,,0,0.0,0.0,Manual Only
270,2018,Masevich,,0,"Google Books, Winston Churchill, Ngram Viewer, Books Ngram, Churchill, рис, частотного поведения, имен, рис., кривые",10,,0,0.0,0.0,YAKE Only
271,2018,Mikoni,"concept, relationship, relations, role, genus, species, part, aggregate, whole,
generalization, aggregation, instrumental relations, influence relations",13,,0,,0,0.0,0.0,Manual Only
272,2018,Mikoni,"понятие, отношение, связь, роль, род, вид, часть, агрегат, целое,
обобщение, агрегация, инструментальная связь, связь-влияние.",13,,0,,0,0.0,0.0,Manual Only
273,2018,Mikoni,,0,"понятия, понятий, Понятие, связи, содержание понятия, является, Отношение, связь, деления, abi",10,,0,0.0,0.0,YAKE Only
274,2018,Mochalova,"question-answer systems, ontologies, automatic text processing, Drools,
SPARQL, Apache Jena.",6,,0,,0,0.0,0.0,Manual Only
275,2018,Mochalova,"вопросно-ответные системы, онтологии,
автоматическая обработка текста, Drools, SPARQL, Apache Jena.",6,,0,,0,0.0,0.0,Manual Only
276,2018,Mochalova,,0,"текста, онтологии, itfru, системы, вопросно-ответной системы, частей текста, обработки текста, ПРИЗНАК, ДЕЙСТВИЕ, СИМВОЛ",10,,0,0.0,0.0,YAKE Only
277,2018,Raikov,"big data, deep learning, quantum semantics, cognitive modelling, convergent
approach",5,,0,,0,0.0,0.0,Manual Only
278,2018,Raikov,"большие данные, глубокое обучение, квантовая семантика,
когнитивное моделирование, конвергентный подход",5,,0,,0,0.0,0.0,Manual Only
279,2018,Raikov,,0,"когнитивной модели, модели, когнитивной, настоящей работе, принятия решения, решения, данных, глубокого обучения, документов, факторов",10,,0,0.0,0.0,YAKE Only
280,2018,Sagmanova,"interrogative utterance, oral speech, dialogic speech.
Guzel Sagmanova,",4,,0,,0,0.0,0.0,Manual Only
281,2018,Sagmanova,"вопросительная реплика, устная речь, диалогическая речь.",3,,0,,0,0.0,0.0,Manual Only
282,2018,Sagmanova,,0,"ВОПРОСИТЕЛЬНЫХ РЕПЛИК, РЕПЛИК, КРАТКИХ ВОПРОСИТЕЛЬНЫХ, ВОПРОСИТЕЛЬНЫХ, ОСОБЕННОСТИ РЕАЛИЗАЦИИ, РЕАЛИЗАЦИИ КРАТКИХ, РЕЧИ, реализации вопросительных, устной речи, ДИАЛОГИЧЕСКОЙ РЕЧИ",10,,0,0.0,0.0,YAKE Only
283,2018,Sampetova,"automatic correction of typos, Levenstein distance, n-gram model",3,,0,,0,0.0,0.0,Manual Only
284,2018,Sampetova,"автоматическое исправление опечаток, расстояние Левенштейна, n-граммная модель",3,,0,,0,0.0,0.0,Manual Only
285,2018,Sampetova,,0,"ИСПРАВЛЕНИЯ ОПЕЧАТОК, АВТОМАТИЧЕСКОГО ИСПРАВЛЕНИЯ, РЕАЛИЗАЦИЯ АЛГОРИТМА, ОПЕЧАТОК, ИСПРАВЛЕНИЯ, АЛГОРИТМА, АВТОМАТИЧЕСКОГО, слово, слова, РУССКОЯЗЫЧНЫХ ТЕКСТАХ",10,,0,0.0,0.0,YAKE Only
286,2018,Shukshina,"corpus linguistics, color terms, the Russian language, lexico-semantic group",4,,0,,0,0.0,0.0,Manual Only
287,2018,Shukshina,"корпусная лингвистика, цветовые термины, названия цветов,
русский язык, лексико-семантическая группа",5,,0,,0,0.0,0.0,Manual Only
288,2018,Shukshina,,0,"основных цветов, русского языка, слова, слов, цвета, употребления, цветов, группы, значений, основных",10,,0,0.0,0.0,YAKE Only
289,2019,Antipenko,"Distributional Semantics, Corpus Linguistics, social networks, associative
experiment, language consciousness, Russian",6,,0,,0,0.0,0.0,Manual Only
290,2019,Antipenko,"дистрибутивная семантика, корпусная лингвистика, социальные
сети, ассоциативный эксперимент, языковое сознание, русский язык",6,,0,,0,0.0,0.0,Manual Only
291,2019,Antipenko,,0,"русского языка, РАС, языка, слов, слова, РДТ, сети Facebook, Facebook, данных, русского",10,,0,0.0,0.0,YAKE Only
292,2019,Boikov,"verse, verse segmentation, syllabic volume of a verse segment, inter-ictic interval,
meter-generating verse period, verse meter, verse meter regulatives",7,,0,,0,0.0,0.0,Manual Only
293,2019,Boikov,"стих, сегментация стиха, слоговой объем сегмента стиха,
междуиктовый интервал, метрообразующий период стиха, метр стиха, регулятивы
стихового метра.",7,,0,,0,0.0,0.0,Manual Only
294,2019,Boikov,,0,"имеет место, слоговым объемом, min, max, икте, Объемные показатели, междуиктовых интервалов, Стих, место ударение, слова",10,,0,0.0,0.0,YAKE Only
295,2019,Boyarsky,"toponyms, ambiguity, text analysis, parser, marker words",5,,0,,0,0.0,0.0,Manual Only
